Código,Descrição
213781,ABRACADEIRA NYLON 500MM
213833,CORREIA EM V B-162
213835,"CORREIA TR 2L - 140 1/8"" X 1/16"" - 16"" DE 7"" X 4.000MM"
213838,"CORREIA TR 2L - 140 1/8"" X 1/16"" - 18"" DE 7"" X 800MM"
213840,"CORREIA TR 2L - 140 1/8"" X 1/16"" - 18"" DE 147 X 298MM"
213841,"CORREIA TR 2L - 140 1/8"" X 1/16"" - 18"" DE 304 X 242MM"
213843,"CORREIA TR 2L - 140 1/8"" X 1/16"" - 24"" DE 110 X 636MM DES."
213850,"CORREIA ABERTA 2L 1/8"" X 1/16"" -  178 X 178"
213851,"CORREIA ABERTA 2L 1/8"" X 1/16"" -  105 X 145"
213852,CORREIA TRANSPORTADORA V28 900 X 5860mm ABERTA [ESTEIRA DE REFUGO - SEF250]
213975,"MANG. PLAST. TRANC 3/4"" X 2,0 MM"
214111,"RODA W 10 X 24"" 9 FUROS"
214115,"ARO AVULSO 15"" x 8"
214116,"ARO AVULSO R16 x 5,5"
214500,QUADRO ELETRICO PAINEL 80x60x20
214504,CANALETA HELADUCT ABERTA 30x50MM
214505,BARRAMENTO DE DIST.HC-008 C/PROT 10MM AZ
214506,BARRAMENTO DE DIST.HC-008 C/PROT 10MM VD
214507,PORTA FUSIVEL TIPO SAK 4MM
214508,TERMINAL TUBULAR 2.5MM
214509,TERMINAL TUBULAR 1.5MM
214510,TERMINAL FORQUILHA 2.5MM
214540,QUADRO ELETRICO PAINEL 140X80X40 CM
214541,MICRORUTOR BAS.ALAV.RIG..C/ROLD.EXTRE.M3K
214542,SISTEMA DE VENT C FILTRO PFB 32000 20x20
214544,BORNE COM MOLA 6MM
214546,BORNE COM MOLA 4MM
214547,BORNE COM MOLA 2.5MM
214548,"TERMINAL PRE ISOL 3/16 AZ C 2,5MM"
214549,ISOLADOR EPOXI ROSCA 1/4 16X25
215451,CANALETA HELADUCT ABERTA 30X30MM HD-2P
215458,TERMINAL DUPLO TUBULAR 1mm
216227,BUCHA                  6000160
216513,"BORRACHA EM LENÇOL 1/8"" C/ 01 LONA"
216526,BORRACHA EVA 10 X 190 X 175MM
216527,BORRACHA EVA 10 X 445 X 109MM
216528,BORRACHA EVA 10 X 350 X 50MM
216529,BORRACHA EVA 10 X 3000 X 1925MM
216530,BORRACHA EVA 10 X 2800 X 190MM
218443,CAMARA AR REF. 24”T 640V4-01-1 REF. 2112810
219801,CHAVE TRIP. P/MOTOR C/2 BOTÕES 30A CS-102
219939,"CABO ELET 2X 1,5 MM2"
221004,"TAMPAO PVC 3"""
